Symbol,Description,GICS Sector,Market cap
EA,Electronic Arts Inc,Communication Services,"$39,889,831,887"
ROK,Rockwell Automation Inc,Industrials,"$39,844,393,192"
SYY,Sysco Corp,Consumer Staples,"$39,757,698,683"
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"$39,394,522,534"
SBAC,SBA Communications Corporation,Real Estate,"$39,257,383,990"
TRV,Travelers Companies Inc,Financials,"$39,071,099,669"
GPN,Global Payments Inc,Information Technology,"$38,877,560,109"
PH,Parker-Hannifin Corp,Industrials,"$38,815,230,710"
KMI,Kinder Morgan Inc,Energy,"$38,440,192,717"
PPG,PPG Industries Inc,Materials,"$38,432,824,092"
RMD,Resmed Inc,Health Care,"$38,266,897,089"
GIS,General Mills Inc,Consumer Staples,"$37,934,518,269"
ANET,Arista Networks Inc,Information Technology,"$37,734,610,274"
AZO,Autozone Inc,Consumer Discretionary,"$37,493,861,250"
FRC,First Republic Bank,Financials,"$37,484,080,020"
ALL,Allstate Corp,Financials,"$37,013,398,653"
YUM,Yum Brands Inc,Consumer Discretionary,"$36,784,344,746"
HSY,Hershey Foods,Consumer Staples,"$36,528,921,000"
CPRT,Copart Inc,Industrials,"$36,526,242,916"
AFL,Aflac Inc,Financials,"$36,463,435,431"
IFF,International Flavors & Fragrances,Materials,"$35,964,944,268"
HPQ,HP Inc,Information Technology,"$35,739,606,065"
ADM,Archer-Daniels-Midland Company,Consumer Staples,"$35,451,792,646"
NDAQ,Nasdaq Inc,Financials,"$35,316,795,507"
AMP,Ameriprise Finance Inc,Financials,"$35,018,961,624"
XEL,Xcel Energy Inc,Utilities,"$34,857,696,135"
CMI,Cummins Inc,Industrials,"$34,793,143,209"
TDG,Transdigm Group Inc,Industrials,"$34,707,054,052"
WELL,Welltower Inc,Real Estate,"$34,603,670,804"
WMB,Williams Inc,Energy,"$34,494,695,994"
OTIS,Otis Worldwide Corporation,Industrials,"$34,453,010,751"
CBRE,CBRE Group Inc,Real Estate,"$34,176,078,236"
STT,State Street Corp,Financials,"$34,157,949,656"
KEYS,Keysight Technologies Inc,Information Technology,"$34,037,550,937"
MTD,Mettler Toledo Inc,Health Care,"$33,978,201,620"
PSX,Phillips 66,Energy,"$33,974,676,171"
MCK,Mckesson Corp,Health Care,"$33,862,903,829"
AJG,Arthur J Gallagher,Financials,"$33,796,677,900"
VRSK,Verisk Analytics Inc,Industrials,"$33,772,266,666"
DFS,Discover Financial Services,Financials,"$33,612,858,226"
BF.B,Brown Forman Inc Class B,Consumer Staples,"$33,559,927,833"
ANSS,Ansys Inc,Information Technology,"$33,519,801,761"
EFX,Equifax Inc,Industrials,"$33,490,636,981"
PAYC,Paycom Software Inc,Information Technology,"$33,246,021,593"
FAST,Fastenal,Industrials,"$33,025,879,787"
AVB,"AvalonBay Communities, Inc",Real Estate,"$32,893,709,598"
WST,West Pharmaceutical Services Inc,Health Care,"$32,449,137,561"
PEG,Public Service Enterprise Group Inc,Utilities,"$32,346,821,067"
AME,Ametek Inc,Industrials,"$32,334,105,817"
AWK,American Water Works Inc,Utilities,"$32,088,443,296"
OXY,Occidental Petroleum Corp,Energy,"$32,083,122,127"
ENPH,Enphase Energy Inc,Information Technology,"$32,056,546,769"
ARE,"Alexandria Real Estate Equities, Inc",Real Estate,"$31,832,776,161"
PCAR,Paccar Inc,Industrials,"$31,822,273,426"
DHI,D R Horton Inc,Consumer Discretionary,"$31,699,281,522"
EQR,Equity Residential,Real Estate,"$31,658,869,461"
GLW,Corning Inc,Information Technology,"$31,541,976,645"
NUE,Nucor Corp,Materials,"$31,489,927,935"
CTVA,"Corteva, Inc.",Materials,"$31,452,485,400"
LYB,Lyondellbasell Industries NV,Materials,"$31,404,820,795"
ZBRA,Zebra Technologies Corp,Information Technology,"$31,270,107,327"
LVS,Las Vegas Sands Corp,Consumer Discretionary,"$31,094,382,906"
VLO,Valero Energy Corp,Energy,"$31,014,269,754"
GNRC,Generac Holdings Inc,Industrials,"$30,523,902,787"
ETSY,Etsy Inc,Consumer Discretionary,"$30,458,174,662"
BBY,Best Buy Inc,Consumer Discretionary,"$30,457,749,363"
BLL,Ball Corp,Materials,"$30,449,878,642"
ZBH,Zimmer Biomet Holdings Inc,Health Care,"$30,421,795,052"
ALB,Albemarle Corp,Materials,"$30,409,304,417"
FITB,Fifth Third Bancorp,Financials,"$30,391,604,012"
KR,Kroger,Consumer Staples,"$30,266,086,502"
LEN,Lennar Corporation Class A,Consumer Discretionary,"$30,264,045,639"
SWK,Stanley Black & Decker Inc,Industrials,"$29,769,910,948"
TSN,Tyson Foods Inc Class A,Consumer Staples,"$29,688,008,080"
WLTW,Willis Towers Watson PLC,Financials,"$29,536,629,233"
ES,Eversource Energy,Utilities,"$29,055,037,210"
LUV,Southwest Airlines,Industrials,"$28,950,802,651"
WEC,WEC Energy Group Inc,Utilities,"$28,669,844,523"
OKE,Oneok Inc,Energy,"$28,553,495,144"
DVN,Devon Energy Corp,Energy,"$28,420,460,000"
IT,Gartner Inc,Information Technology,"$28,414,643,208"
KSU,Kansas City Southern,Industrials,"$28,302,195,275"
VFC,VF Corp,Consumer Discretionary,"$28,277,112,199"
SWKS,Skyworks Solutions Inc,Information Technology,"$28,198,496,968"
O,Realty Income Corporation,Real Estate,"$28,032,062,709"
URI,United Rentals Inc,Industrials,"$27,958,006,853"
GRMN,Garmin Ltd,Consumer Discretionary,"$27,742,455,568"
FTV,Fortive Corp,Industrials,"$27,606,893,427"
LH,Laboratory Corporation Of America,Health Care,"$27,593,536,000"
WY,Weyerhaeuser Company,Real Estate,"$27,077,976,750"
EXR,Extra Space Storage Inc,Real Estate,"$27,034,431,337"
ED,Consolidated Edison Inc,Utilities,"$27,012,505,404"
BKR,Baker Hughes Company Class A,Energy,"$26,812,716,000"
CDW,CDW Corp,Information Technology,"$26,015,516,743"
ABC,AmerisourceBergen Corp,Health Care,"$26,014,946,923"
SYF,Synchrony Financial,Financials,"$25,929,139,806"
VMC,Vulcan Materials,Materials,"$25,873,589,238"
DAL,Delta Air Lines Inc,Industrials,"$25,850,158,109"
NTRS,Northern Trust Corporation,Financials,"$25,720,922,053"
HES,Hess Corp,Energy,"$25,486,083,950"
MLM,Martin Marietta Materials Inc,Materials,"$25,418,139,832"
CCL,Carnival Corp,Consumer Discretionary,"$25,292,411,267"
VRSN,Verisign Inc,Information Technology,"$25,071,513,790"
DLTR,Dollar Tree Inc,Consumer Discretionary,"$25,043,936,502"
HIG,Hartford Financial Services Group,Financials,"$24,770,917,031"
DOV,Dover Corp,Industrials,"$24,684,728,910"
TSCO,Tractor Supply,Consumer Discretionary,"$24,655,921,147"
MPWR,Monolithic Power Systems Inc,Information Technology,"$24,612,201,600"
VIAC,ViacomCBS Inc. - Class B,Communication Services,"$24,268,365,026"
GWW,W.W. Grainger Inc,Industrials,"$24,262,335,734"
EIX,Edison International,Utilities,"$24,126,442,928"
CZR,Caesars Entertainment Corp,Consumer Discretionary,"$23,848,625,627"
IR,Ingersoll Rand Plc,Industrials,"$23,625,304,685"
STE,STERIS PLC,Health Care,"$23,615,934,103"
